nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19458310,756102,América
Uruguay,3473730,176215,América
Colombia,51874024,1141748,América
México,126705138,1964375,América
Perú,33359418,1285216,América
España,47415750,505990,Europa
Francia,67897000,551695,Europa
Alemania,83149300,357022,Europa
Italia,60317116,301340,Europa
Portugal,10290103,92212,Europa
Reino Unido,67886011,243610,Europa
China,1412600000,9596960,Asia
Japón,125800000,377975,Asia
India,1380004385,3287263,Asia
Corea del Sur,51709098,100210,Asia
Indonesia,273523615,1904569,Asia
Nigeria,206139589,923768,África
Sudáfrica,59308690,1219090,África
Egipto,104258327,1001449,África
Etiopía,117876227,1104300,África
Australia,25499884,7692024,Oceanía
Nueva Zelanda,5084300,268021,Oceanía
